nb_hab;nb_fam;ar_name;shi_name;taqbilt;shi_taqbilt;nb_hab_2014;nb_fam_2014;;;;;
34;11;تكنزة;Taknza;أنظريف;Anḍrif;;;;;;;
53;12;أكادير أخراز;Agadir Axrraz;أنظريف;Anḍrif;;;;;;;
47;8;أوتيل;Awtil;أنظريف;Anḍrif;;;;;;;
164;30;تمرنوت;Tamrnut;أنظريف;Anḍrif;;;;;;;
38;8;آيت احماد أسعيد;Ayt Ḥmad u Sɛid;أنظريف;Anḍrif;;;;;;;
88;13;أنفيك;Anfik;أنظريف;Anḍrif;;;;;;;
161;27;أولبن;Ulbn;أنظريف;Anḍrif;190;37;;;;;
55;10;تورار;Tiwrar;أنظريف;Anḍrif;;;;;;;
66;12;تنزكور;Tinzkur;أنظريف;Anḍrif;;;;;;;
32;8;أنا أكرض;Afa Ugṛḍ;أنظريف;Anḍrif;;;;;;;
129;24;أسغركيس;Asɣrgis;أنظريف;Anḍrif;;;;;;;
45;9;إفولن;Ifulan;أنظريف;Anḍrif;;;;;;;
3;1;آيت اسليمان;Ayt Sliman;أنظريف;Anḍrif;;;;;;;
58;13;إفلحاس;Iflḥas;أنظريف;Anḍrif;;;;;;;
87;16;آيت علي أداود;Ayt Ɛli u Dawd;أنظريف;Anḍrif;;;;;;;
64;13;توفضات;Tunḍat;أنظريف;Anḍrif;;;;;;;
202;44;أزور بوتوالا;Aẓur n Butwala;أنظريف;Anḍrif;132;34;;;;;
108;20;تمجيشت;Tamjict;أنظريف;Anḍrif;;;;;;;
36;7;آيت موس أ عبد الرحمان;Ayt Mus u Ɛbdṛṛḥman;آيت عين;Ayt Ɛin;;;;;;;
13;5;تفغلان;Tifɣlan;آيت عين;Ayt Ɛin;;;;;;;
8;2;تكديرت;Tagadirt;آيت عين;Ayt Ɛin;;;;;;;
20;6;الحلت;Lḥlt;آيت عين;Ayt Ɛin;;;;;;;
85;14;أناضلو;Anadlu;آيت عين;Ayt Ɛin;;;;;;;
59;10;تاكنزة أمزيل;Taknza Umzil;آيت عين;Ayt Ɛin;;;;;;;
37;6;آيت همو أوموسى;Ayt Hmmu u Musa;آيت عين;Ayt Ɛin;;;;;;;
22;3;توودم;Twudm;آيت عين;Ayt Ɛin;;;;;;;
12;2;أورير أباعوض;Awrir Ubɛuḍ;آيت عين;Ayt Ɛin;;;;;;;
15;3;أولي;Awli;آيت عين;Ayt Ɛin;;;;;;;
32;5;توريرت;Tawrirt;آيت عين;Ayt Ɛin;;;;;;;
25;6;الخميس;Lxmis;آيت عين;Ayt Ɛin;;;;;;;
63;11;إغيل;Iɣil;آيت عين;Ayt Ɛin;;;;;;;
12;3;تادارت;Taddart;آيت عين;Ayt Ɛin;;;;;;;
100;22;أنزكارن;Anzgarn;إساكن;Isagn;;;;;;;
64;19;لازان;Lazal;إساكن;Isagn;;;;;;;
54;13;إغير إسلكان;Iɣir Islgan;إساكن;Isagn;;;;;;;
35;8;ونتود;Untud;إساكن;Isagn;;;;;;;
20;5;تروف;Turuf;إساكن;Isagn;;;;;;;
28;8;إغيل إبلاغن;Iɣil Iblaɣn;إساكن;Isagn;;;;;;;
40;15;أكرض أوزرو;Agṛḍ Uẓṛu;إساكن;Isagn;;;;;;;
14;5;أكني ;Agni ;إساكن;Isagn;;;;;;;
10;4;الليون;Allyun;إساكن;Isagn;;;;;;;
42;12;أكرض الما;Agṛḍ Alma;إساكن;Isagn;;;;;;;
58;13;إمي وندرات;Imi Undrat;إساكن;Isagn;;;;;;;
88;26;تدنغي وندرات;Tidnɣi Undrat;إساكن;Isagn;;;;;;;
19;7;مزكن;Mrgn;إساكن;Isagn;;;;;;;
31;8;توريرت إمركن;Tawrirt Imrkn;إساكن;Isagn;;;;;;;
29;7;إغير إفر;Iɣir Ifr;إساكن;Isagn;;;;;;;
46;14;تيعي;Tiqqi;إساكن;Isagn;;;;;;;
22;6;ماغوست;Maɣust;إساكن;Isagn;;;;;;;
76;20;أنامر ;Anammr;إساكن;Isagn;;;;;;;
17;4;تيفرت;Tifrt;إساكن;Isagn;;;;;;;
54;14;إدالس;Idls;إساكن;Isagn;;;;;;;
55;14;تالتمسن;Taltmsn;إساكن;Isagn;;;;;;;
5;2;إبناون;Ibnnawn;إساكن;Isagn;;;;;;;
57;21;تاكضيشت;Tagḍict;إساكن;Isagn;;;;;;;
17;6;إمي نتغزوت;Imi n Tɣzut;إساكن;Isagn;;;;;;;
35;13;ألما;Alma;إساكن;Isagn;;;;;;;
9;4;آيت ناصر;Ayt Naṣṛ;إساكن;Isagn;;;;;;;
71;15;أكني ازكارن;Agni Inzgarn;إزور إغالن;Azur Iɣaln;;;;;;;
88;18;إمزي;Imzi;أزور إغالن;Azur Iɣaln;;;;;;;
86;23;تيليلوت;Tililut;أزور إغالن;Azur Iɣaln;;;;;;;
37;10;أكرض نعمر;Agṛḍ n Ɛmr;أزور إغالن;Azur Iɣaln;;;;;;;
56;14;تازكا;Taẓkka;أزور إغالن;Azur Iɣaln;;;;;;;
31;4;فودغار;Fudɣar;أزور إغالن;Azur Iɣaln;;;;;;;
12;3;إنجارن;Injjarn;أزور إغالن;Azur Iɣaln;;;;;;;
67;13;أوكنز;Awgnz;أزور إغالن;Azur Iɣaln;;;;;;;
125;36;تيزي ازوريغالن;Tizi;أزور إغالن;Azur Iɣaln;;;;;;;
48;12;آيت موس;Ayt Mus;أزور إغالن;Azur Iɣaln;;;;;;;
27;9;تيزي زمور;Tizi Uzmmur;أزور إغالن;Azur Iɣaln;;;;;;;
63;12;آيت مسعود;Ayt Msɛud;ازوريغالن;Azur Iɣaln;;;;;;;
240;50;أكلميم;Agʷlmim;ازوريغالن;Azur Iɣaln;191;46;;;;;
15;3;بواليل;Buwallil;ازوريغالن;Azur Iɣaln;;;;;;;
33;5;تامزا;Tamza;ازوريغالن;Azur Iɣaln;;;;;;;
27;4;توراشت;Turact;ازوريغالن;Azur Iɣaln;;;;;;;
59;14;أسول;Asul;ازوريغالن;Azur Iɣaln;;;;;;;
23;7;إكر أو سول;Igr Usul;ازوريغالن;Azur Iɣaln;;;;;;;
40;11;آيت عمر ;Ayt Ɛmr;ازوريغالن;Azur Iɣaln;;;;;;;
127;28;أنامر ولكطين;Anammr Ulgṭin;ازوريغالن;Azur Iɣaln;;;;;;;
29;5;أساي ولكطينن;Asay Ulgṭin;ازوريغالن;Azur Iɣaln;;;;;;;
82;18;تفوهامت;Tafuhamt;ازوريغالن;Azur Iɣaln;;;;;;;
45;11;آيت همو أعلي;Ayt Hmmu u Ɛli;ازوريغالن;Azur Iɣaln;;;;;;;
24;6;آيت علي أعلي;Ayt Ɛli u Ɛli;ازوريغالن;Azur Iɣaln;;;;;;;
1;1;تفدالت;Tafdalt;ازوريغالن;Azur Iɣaln;;;;;;;
7;3;تكضيشت;Tagḍict;ازوريغالن;Azur Iɣaln;;;;;;;
58;14;أنلخت;Anlaxt;ازوريغالن;Azur Iɣaln;;;;;;;
65;18;تودانت;Tawdant;ازوريغالن;Azur Iɣaln;;;;;;;
12;2;آيت داود ;Ayt Dawd;ازوريغالن;Azur Iɣaln;;;;;;;
21;4;إفرض أنزكارن;Ifrḍ Inzgarn;ازوريغالن;Azur Iɣaln;;;;;;;
267;59;أفلا نتكوشت;Aflla n Tkuct;تكوشت;Takuct;184;50;;;;;
256;53;ثلاث نزضين;Tlat n Zḍin;تكوشت;Takuct;208;47;;;;;
392;85;تزكان;Tzukan;تكوشت;Takuct;406;95;;;;;
50;14;تغمرت;Tiɣmrt;تكوشت;Takuct;;;;;;;
21;4;آيت الطالب أ عبد الله;Ayt Ṭalb u Ɛbdllah;تكوشت;Takuct;;;;;;;
20;4;تسقيموت;Tasqimut;تكوشت;Takuct;;;;;;;
45;6;آيت أنجار;Ayt Anjjar;تكوشت;Takuct;;;;;;;
23;6;تغالين;Tiɣalin;تكوشت;Takuct;;;;;;;
21;4;إدغارن;Idɣarn;تكوشت;Takuct;;;;;;;
78;14;إمكرغيتن;Amkrɣitn;تكوشت;Takuct;;;;;;;
110;18;إموشيون;Imucciwn;تكوشت;Takuct;;;;;;;
63;12;تكتيب;Taknit;تكوشت;Takuct;;;;;;;
